District,Town,Village,SurveyNumber,Area_in_Cents,Area_in_Acres,SurveyType,OwnershipType,SoilType,IrrigationType,RegistrationDate,MarketValue_INR,IsDisputed,HasWaterSource,OwnerName,OwnerID,ValuePerCent,RegistrationYear
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-9965,62.03,0.62,Industrial,Individual,Sandy,Tank,2006-04-28,3548536.08,False,False,Owner_6094,ID341719,57206.77,2006
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-8508,145.95,1.459,Agricultural,Individual,Clay,Well,2019-12-13,3701027.24,False,False,Owner_1463,ID593445,25358.19,2019
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-1402,483.25,4.832,Agricultural,Trust,Alluvial,Tank,2018-10-29,4566405.89,True,False,Owner_1705,ID702329,9449.37,2018
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-9026,97.47,0.975,Commercial,Trust,Clay,River,2014-07-07,3135791.67,True,False,Owner_2759,ID126370,32171.86,2014
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-8919,92.16,0.922,Residential,Trust,Black,Canal,2014-02-17,1875310.68,False,False,Owner_4490,ID915307,20348.42,2014
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-8371,373.68,3.737,Vacant,Government,Alluvial,Rain-fed,2002-02-04,1388788.69,True,False,Owner_7123,ID898668,3716.52,2002
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-5722,148.95,1.489,Industrial,Joint,Alluvial,Tank,2019-01-26,939176.4,False,True,Owner_2175,ID993450,6305.31,2019
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-1899,291.78,2.918,Agricultural,Joint,Clay,Rain-fed,2004-02-24,4127984.2,True,False,Owner_1342,ID447213,14147.59,2004
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-1066,386.49,3.865,Commercial,Joint,Red,Well,2005-05-12,3572792.95,False,True,Owner_7312,ID240274,9244.21,2005
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-9115,222.88,2.229,Agricultural,Government,Red,Canal,2023-02-10,2652492.51,True,False,Owner_3122,ID818269,11900.99,2023
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-9894,374.12,3.741,Agricultural,Individual,Black,Tank,2009-08-29,4166797.79,False,True,Owner_4761,ID451609,11137.6,2009
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-9613,66.51,0.665,Agricultural,Company,Red,River,2022-01-07,2717085.51,False,False,Owner_6037,ID288708,40852.29,2022
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-1753,118.2,1.182,Vacant,Company,Clay,River,2023-06-13,3365013.57,False,False,Owner_6655,ID567518,28468.81,2023
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-9740,437.0,4.37,Industrial,Joint,Sandy,Well,2022-03-27,423702.21,True,False,Owner_1443,ID766592,969.57,2022
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-3488,212.56,2.126,Commercial,Government,Black,Rain-fed,2009-12-13,3702318.65,False,True,Owner_5202,ID969512,17417.76,2009
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-3926,476.15,4.761,Vacant,Government,Red,Canal,2023-11-29,4808656.02,True,True,Owner_4992,ID413629,10099.04,2023
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-3375,246.96,2.47,Vacant,Joint,Black,River,2019-06-21,3428747.9,False,True,Owner_7359,ID882536,13883.82,2019
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-4583,123.69,1.237,Vacant,Trust,Clay,Tank,2009-10-06,2103481.48,True,True,Owner_1774,ID643467,17006.08,2009
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-9454,459.64,4.596,Agricultural,Joint,Red,River,2013-07-18,81519.51,False,False,Owner_6844,ID864831,177.36,2013
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-7627,180.99,1.81,Agricultural,Joint,Clay,Bore well,2022-05-22,308174.85,True,False,Owner_1987,ID462971,1702.72,2022
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-4298,10.94,0.109,Vacant,Trust,Clay,Well,2020-06-27,2313033.18,False,False,Owner_9965,ID187946,211428.99,2020
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-2982,336.35,3.364,Agricultural,Government,Sandy,Bore well,2011-08-08,4485711.88,False,True,Owner_1484,ID445004,13336.44,2011
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-9518,427.31,4.273,Industrial,Government,Black,River,2024-05-10,733170.79,True,False,Owner_6806,ID463154,1715.78,2024
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-4330,292.54,2.925,Vacant,Trust,Clay,Tank,2002-11-15,4785520.95,True,True,Owner_3540,ID436406,16358.52,2002
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam,SUR-THI-NEY-KAN-8023,93.97,0.94,Industrial,Joint,Alluvial,Bore well,2015-11-22,3610589.51,False,True,Owner_6664,ID257093,38422.79,2015
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-9162,210.54,2.105,Industrial,Trust,Red,Rain-fed,2006-12-09,2056500.52,False,True,Owner_4503,ID844463,9767.74,2006
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-9532,392.2,3.922,Industrial,Company,Clay,Tank,2000-08-12,2240106.13,False,False,Owner_1246,ID929168,5711.64,2000
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-2838,383.46,3.835,Agricultural,Company,Laterite,Rain-fed,2010-05-19,4445076.46,True,False,Owner_3692,ID445675,11592.02,2010
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-7440,20.13,0.201,Agricultural,Trust,Red,Canal,2021-07-20,4615668.05,False,True,Owner_8417,ID626072,229293.0,2021
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-7070,398.82,3.988,Vacant,Individual,Clay,Rain-fed,2018-05-14,3146392.76,True,False,Owner_5143,ID588583,7889.26,2018
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-6246,304.12,3.041,Industrial,Company,Red,Rain-fed,2000-01-21,2134623.23,False,False,Owner_3973,ID280395,7019.02,2000
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-5507,139.21,1.392,Agricultural,Joint,Clay,Well,2002-09-25,4327407.82,False,False,Owner_9711,ID846976,31085.47,2002
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-7387,435.69,4.357,Agricultural,Company,Alluvial,Canal,2015-04-15,676824.71,True,False,Owner_2643,ID323294,1553.45,2015
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-9864,477.91,4.779,Residential,Government,Alluvial,Tank,2021-01-14,1889286.9,False,True,Owner_7489,ID421313,3953.23,2021
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-6061,41.01,0.41,Residential,Trust,Red,Rain-fed,2010-08-30,2010382.61,True,False,Owner_3323,ID862756,49021.77,2010
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-6687,72.42,0.724,Industrial,Joint,Clay,Canal,2018-10-31,2509271.88,False,False,Owner_2271,ID688076,34648.88,2018
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-9099,180.58,1.806,Commercial,Individual,Clay,Rain-fed,2017-03-27,512681.5,False,False,Owner_3456,ID581927,2839.08,2017
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-4198,376.48,3.765,Vacant,Trust,Laterite,Canal,2017-07-25,472017.64,False,True,Owner_5514,ID724542,1253.77,2017
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-4693,133.14,1.331,Industrial,Government,Laterite,Bore well,2018-06-24,3121201.87,True,False,Owner_7192,ID844283,23443.01,2018
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-2657,50.54,0.505,Agricultural,Trust,Alluvial,Well,2009-12-02,3523332.94,True,False,Owner_6470,ID232071,69713.75,2009
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-5975,30.82,0.308,Commercial,Joint,Laterite,Canal,2008-06-01,2006774.51,False,True,Owner_5941,ID652455,65112.74,2008
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-3729,376.82,3.768,Agricultural,Trust,Laterite,Bore well,2018-08-18,1381425.94,False,False,Owner_7407,ID164956,3666.01,2018
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-2212,275.71,2.757,Vacant,Government,Laterite,Rain-fed,2000-12-01,4830863.59,False,False,Owner_5552,ID892023,17521.54,2000
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-3862,374.4,3.744,Commercial,Individual,Sandy,Tank,2000-12-03,94737.09,False,False,Owner_1681,ID466121,253.04,2000
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-6630,71.53,0.715,Agricultural,Trust,Alluvial,Canal,2022-08-24,3467033.94,False,True,Owner_2099,ID279623,48469.65,2022
Thiruvananthapuram,Neyyattinkara,Parassala,SUR-THI-NEY-PAR-2971,422.09,4.221,Agricultural,Joint,Laterite,Bore well,2019-07-17,2757347.83,True,False,Owner_1880,ID807942,6532.61,2019
Thiruvananthapuram,Neyyattinkara,Vizhinjam,SUR-THI-NEY-VIZ-1466,184.07,1.841,Commercial,Trust,Laterite,Bore well,2014-03-15,2150552.36,False,False,Owner_1089,ID938225,11683.34,2014
Thiruvananthapuram,Neyyattinkara,Vizhinjam,SUR-THI-NEY-VIZ-6633,293.33,2.933,Commercial,Government,Laterite,Tank,2009-01-14,4754017.23,False,True,Owner_3869,ID754051,16207.06,2009
Thiruvananthapuram,Neyyattinkara,Vizhinjam,SUR-THI-NEY-VIZ-7589,6.82,0.068,Vacant,Trust,Sandy,Well,2014-06-23,3439376.91,False,True,Owner_6266,ID345787,504307.46,2014
Thiruvananthapuram,Neyyattinkara,Vizhinjam,SUR-THI-NEY-VIZ-4781,123.17,1.232,Agricultural,Company,Laterite,River,2011-12-07,4059246.14,True,False,Owner_9695,ID755902,32956.45,2011
Thiruvananthapuram,Neyyattinkara,Vizhinjam,SUR-THI-NEY-VIZ-9795,356.84,3.568,Vacant,Individual,Black,River,2005-04-25,2532864.63,False,False,Owner_5707,ID872001,7098.04,2005
Thiruvananthapuram,Neyyattinkara,Vizhinjam,SUR-THI-NEY-VIZ-2146,277.7,2.777,Residential,Government,Sandy,River,2020-04-28,1935278.34,False,False,Owner_9440,ID553985,6968.95,2020
Thiruvananthapuram,Neyyattinkara,Vizhinjam,SUR-THI-NEY-VIZ-7068,115.6,1.156,Agricultural,Individual,Laterite,Rain-fed,2022-05-25,3692835.87,True,True,Owner_6086,ID137188,31944.95,2022
Thiruvananthapuram,Neyyattinkara,Vizhinjam,SUR-THI-NEY-VIZ-9573,167.23,1.672,Commercial,Individual,Red,Canal,2006-06-20,4982334.56,True,True,Owner_7094,ID165872,29793.31,2006
Thiruvananthapuram,Neyyattinkara,Vizhinjam,SUR-THI-NEY-VIZ-3870,495.13,4.951,Vacant,Government,Black,Well,2004-02-27,4237610.83,False,False,Owner_5515,ID840281,8558.58,2004
